Order,Title,Distance(Meters),Time(Secs),Speed(km/hr),Trail Start,Trail End
1,1a Camden History,63.88251724809497,71,0.8997537640576756,1Q,1A
2,1b.1 Camden History,36.73573174363472,42,0.8746602796103505,1A,1B
3,1b.2 Road,33.553911654728864,34,0.986879754550849,1A,1B
4,1c.1 Camden History,39.267145405175526,51,0.7699440275524613,1B,1C
5,1d Camden History,542.349613378346,466,1.1638403720565365,1C,1D
6,2 Camden History,38.029814379538465,44,0.8643139631713287,1D,1E
7,3A Camden History,165.5022903145296,147,1.125865920507004,1E,1F
8,3b.1 Camden History,49.15912896989073,78,0.6302452432037273,1F,1G
9,3c Camden History,500.57577203655427,421,1.189016085597516,1F,1H
10,4 Camden History,1422.876257396602,1154,1.2329950237405565,1H,1I
11,5 CH/DV,23.750314341786634,28,0.8482255122066655,1I,1J
12,6 Camden History,369.5004318672872,311,1.18810428253147,1J,1K
13,7a CH/DV,17.285443616254852,26,0.6648247544713405,1K,1L
14,7b.1 CH/DV Rest Side,14.643084654409988,25,0.5857233861763995,1L,1M
15,7c CH/DV Connect,26.81330615875629,27,0.9930854132872701,1L,1N
16,8a CSP Beach,76.08671862226036,73,1.0422838167432926,1N,2A
17,8b CSP,53.300803971225776,56,0.9518000709147459,2A,2C
18,8c CSP Bridge,33.811945278317374,38,0.8897880336399309,2C,2D
19,9 CSP,180.9636867595314,154,1.1750888750618922,2D,2E
20,11 CSP,193.2532488228246,162,1.1929212890297813,2E,1D
21,12a Connect CSP,118.51953900106973,112,1.0582101696524082,2F,2H
22,12b.1 Connect CSP,36.026232730086335,64,0.562909886407599,2D,2H
23,12c Connect,96.71544756372438,81,1.1940178711570912,2D,2I
24,12d Connect CSP,43.274193871561906,41,1.0554681432088269,2H,2I
25,13a Dakota Valley,1193.6490309670978,1046,1.1411558613452177,1I,3H
26,13B Dakota Valley,952.6776837662117,805,1.1834505388400145,3H,3G
27,14 DV/BB Connect,129.71384596117122,138,0.9399554055157334,3G,3F
28,15 Bluebird,34.78608093032528,28,1.2423600332259028,5F,5D
29,16 LookOut,130.94818575214944,124,1.0560337560657214,5D,5E
30,17a Dakota Valley,241.31226302436139,251,0.9614034383440693,3E,3D
31,17b1 Dakota Valley Creek Bench,4.24878732547478,11,0.38625339322498,3C,3D
32,17b1 Dakota Valley CT,8.984310568580682,37,0.24281920455623465,3D,3B
33,17b3 Dakota Valley CT,9.489026834057288,14,0.677787631004092,3B,3A
34,17b4 Dakota Valley CT,11.725625998163336,14,0.837544714154524,3D,3A
35,17c Dakota Valley,311.2844046967426,302,1.0307430619097437,3A,1O
36,19 CH/DV Connect,61.797541113357624,64,0.9655865798962129,1O,1N
37,20a Camden History,16.147664166406713,21,0.7689363888765102,1O,1P
38,20b Camden History,30.05854478509083,28,1.0735194566103867,1P,5A
39,21-8a Camden History,65.26947212731184,63,1.036023367100188,1N,2B
40,21-8b Camden History,93.25505818726285,99,0.9419702847198267,2B,1Q
41,21-8c Camden History,27.10577180051236,28,0.9680632785897272,2A,2B
42,21 Camden History,97.58139611151913,99,0.9856706677931225,1P,1Q
43,22 Dakota Valley,269.6924140395748,291,0.9267780551188138,1J,1K
44,23 BB/CH Connect,103.18635398791892,79,1.3061563795939104,5B,5C
45,24 Bluebird,202.6994843228601,204,0.9936249231512749,5C,5D
46,25 Bluebird,492.72154576378756,374,1.3174372881384695,5C,5R
47,26 Road BB Bridge,37.39300807831503,39,0.9587950789311546,5R,5Q
48,27a Bluebird,316.82397171607494,242,1.3091899657689048,5O,5N
49,27b Bluebird,20.135121715809614,16,1.2584451072381009,5O,5P
50,27c BB Connect,11.89229625751748,19,0.6259103293430253,5O,5Q
51,28a Lower Camp Road,137.99455731998322,133,1.0375530625562648,1A,4A
52,28b Lower Park Rd,117.37884297386398,114,1.0296389734549471,4A,4B
53,28c Lower Park Rd,137.08936645393646,128,1.0710106754213786,4B,4A
54,28d Lower Park CT,58.83603155090177,69,0.852696109433359,4C,4B
55,28 Parking Lot BB/RT,284.25187182179366,245,1.1602117217216068,5P,5N
56,29 Road,25.80512306783084,25,1.0322049227132337,5P,5Q
57,30 Bluebird Bridge,65.41111922394686,54,1.2113170226656824,5M,5N
58,31 River Trail,264.6181555630322,227,1.16571874697371,5M,6A
59,32 Bluebird,129.467342721125,104,1.2448782953954327,5M,5L
60,33 BB/RT Connect,108.5805970793125,90,1.2064510786590277,5L,6A
61,34 Bluebird,244.90912451946062,253,0.9680202550176309,5L,5K
62,35 Bluebird MT Biking,727.3125880332236,622,1.1693128424971442,5K,5I
63,36 Bluebird,72.43889418078923,63,1.1498237171553847,5K,5J
64,37 Bluebird,344.61930069517484,286,1.2049625898432688,5J,5I
65,38 Bluebird,224.44707740527437,196,1.14513815002691,5I,5H
66,39 Prairie Pools Trail,604.9638553282499,616,0.9820841807276784,5H,5Ha
67,40a Bluebird,1454.678668436761,1213,1.1992404521325317,5G,3G
68,40b Bluebird,511.71985431344365,423,1.2097396083060135,5H,5G
69,41 Prairie Bluff,1267.437096297108,985,1.2867381688295512,5J,7A
70,42 Prairie Bluff,1322.676334574418,1137,1.1633037243398574,7A,7B
71,43 RT/PB Connct,251.95360885368518,224,1.1247928966682375,7A,6B
72,44 River Trail,422.36996269099694,390,1.0829999043358896,6B,6C
73,45 River Trail Bigfoot,193.919069701904,180,1.0773281650105777,6C,6D
74,46a River Trail,184.91905841524425,161,1.1485655802189083,6D,6E
75,46b River Trail,36.38812857913462,54,0.6738542329469375,6F,6E
76,46c River Trail,99.1986296093143,130,0.76306638161011,6E,6G
